road,Accidents
"(20940458, 21133683, 0)",1
"(20940458, 29059170, 0)",1
"(20976992, 20977020, 0)",8
"(20976992, 21093411, 0)",1
"(20976992, 415464499, 0)",1
"(20977001, 20977010, 0)",1
"(20977020, 20977008, 0)",1
"(20977050, 20977047, 0)",1
"(20978315, 9832102, 0)",3
"(20979479, 2090408021, 0)",2
"(20979482, 26526410, 0)",4
"(20979486, 1621260478, 0)",1
"(20979530, 1621260478, 0)",1
"(21004201, 20939748, 0)",2
"(21004201, 535085873, 0)",1
"(21004201, 1332255234, 0)",1
"(21004202, 1332257877, 0)",1
"(21004202, 1542565095, 0)",2
"(21004207, 21035862, 0)",4
"(21004207, 745108339, 0)",5
"(21004219, 20939672, 0)",2
"(21004219, 1351235401, 0)",1
"(21029395, 34787954, 0)",2
"(21035848, 8555374511, 0)",5
"(21035850, 21035851, 0)",1
"(21035855, 10457571, 0)",3
"(21035862, 21004207, 0)",2
"(21035862, 1513270756, 0)",1
"(21042095, 18667984, 0)",2
"(21042095, 21042099, 0)",1
"(21042099, 20694233, 0)",1
"(21042104, 18667984, 0)",1
"(21042104, 21042105, 0)",1
"(21042104, 21042106, 0)",1
"(21042105, 21042104, 0)",3
"(21069412, 31004259, 0)",1
"(21069412, 993673517, 0)",3
"(21069419, 21069420, 0)",2
"(21069419, 354734670, 0)",2
"(21069420, 21069419, 0)",3
"(21069420, 21069421, 0)",1
"(21069421, 21069420, 0)",1
"(21069421, 5717597914, 0)",3
"(21069423, 52905103, 0)",1
"(21093218, 10457582, 0)",2
"(21093218, 21298211, 0)",1
"(21093218, 27081091, 0)",1
"(21093224, 20621508, 0)",1
"(21093229, 21093230, 0)",2
"(21093232, 921345597, 0)",2
"(21093233, 55424722, 0)",1
"(21093234, 41338244, 0)",1
"(21093402, 21093411, 0)",1
"(21093402, 6274048964, 0)",1
"(21093411, 3460709, 0)",2
"(21093411, 21093402, 0)",1
"(21093498, 21093501, 0)",2
"(21093501, 21093498, 0)",1
"(21093502, 21093507, 0)",1
"(21093502, 3215148009, 0)",1
"(21093535, 255454150, 0)",3
"(21093535, 256631859, 0)",1
"(21093535, 256631930, 0)",1
"(21093544, 643607, 0)",1
"(21093544, 21093546, 0)",1
"(21093546, 21093544, 0)",1
"(21093547, 299601704, 0)",2
"(21099170, 3231935197, 0)",1
"(21099174, 21099208, 0)",1
"(21099174, 1634925187, 0)",3
"(21099177, 2060706315, 0)",1
"(21099178, 21099177, 0)",2
"(21099178, 1634922770, 0)",3
"(21099197, 403097019, 0)",13
"(21099197, 410920512, 0)",8
"(21099202, 8068776832, 0)",1
"(21099204, 441942888, 0)",1
"(21099212, 21099209, 0)",2
"(21099212, 21099213, 0)",1
"(21099213, 21099204, 0)",1
"(21099213, 21099212, 0)",2
"(21099213, 921362477, 0)",3
"(21099213, 921362487, 0)",1
"(21099224, 21099222, 0)",2
"(21099224, 441942760, 0)",1
"(21099232, 21503227, 0)",2
"(21099232, 1635816175, 0)",1
"(21099234, 21428182, 0)",3
"(21099234, 59776862, 0)",2
"(21099234, 313246916, 0)",1
"(21099285, 29059163, 0)",2
"(21099328, 21099331, 0)",1
"(21099328, 1164555817, 0)",2
"(21099330, 319425458, 0)",1
"(21099331, 21099328, 0)",1
"(21099331, 921345572, 0)",3
"(21099331, 1164555817, 0)",1
"(21099332, 364008701, 0)",1
"(21099337, 21099339, 0)",5
"(21099337, 4621500996, 0)",2
"(21099365, 974458714, 0)",1
"(21099378, 9988030142, 0)",3
"(21099384, 6352996732, 0)",2
"(21122782, 1533402129, 0)",2
"(21122802, 10386114, 0)",8
"(21122811, 21122808, 0)",1
"(21122826, 21122811, 0)",1
"(21122847, 58803370, 0)",3
"(21122851, 21310236, 0)",1
"(21122851, 5186541303, 0)",1
"(21122874, 2889728370, 0)",1
"(21122877, 430953071, 0)",1
"(21122881, 21122882, 0)",1
"(21122881, 430953026, 0)",1
"(21122882, 21299776, 0)",1
"(21122893, 59785289, 0)",1
"(21122895, 330488141, 0)",1
"(21122898, 306298427, 0)",1
"(21122900, 21503214, 0)",1
"(21122900, 306303566, 0)",1
"(21122901, 330058006, 0)",2
"(21122904, 330318308, 0)",1
"(21122904, 330497825, 0)",2
"(21122906, 21099224, 0)",1
"(21122906, 25233839, 0)",2
"(21133405, 21133683, 0)",1
"(21133426, 21133428, 0)",1
"(21133426, 21133684, 0)",1
"(21133431, 21133428, 0)",1
"(21133435, 21133442, 0)",1
"(21133442, 694080991, 0)",1
"(21133683, 20940458, 0)",1
"(21133684, 21133686, 0)",1
"(21133687, 60624868, 0)",3
"(21133687, 4291053192, 0)",1
"(21133739, 51428434, 0)",4
"(21133756, 1599226639, 0)",7
"(21133772, 10457384, 0)",1
"(21133772, 48966762, 0)",14
"(21264646, 21264652, 0)",1
"(21264646, 21264654, 0)",1
"(21264646, 1542564859, 0)",2
"(21264652, 21264654, 0)",4
"(21266230, 21099285, 0)",5
"(21266230, 29102452, 0)",1
"(21266235, 10438129, 0)",2
"(21266648, 258337497, 0)",1
"(21266652, 693399905, 0)",1
"(21267914, 891826488, 0)",1
"(21267927, 21267914, 0)",1
"(21268007, 21268006, 0)",1
"(21272403, 20939349, 0)",2
"(21272403, 1332261540, 0)",1
"(21285324, 20621546, 0)",1
"(21285331, 21285337, 0)",1
"(21285337, 10457613, 0)",2
"(21285350, 21285352, 0)",1
"(21285352, 21285350, 0)",1
"(21285358, 5460562779, 0)",1
"(21285358, 5460562787, 0)",1
"(21285372, 21285378, 0)",1
"(21285385, 21298212, 0)",1
"(21285388, 21285370, 0)",1
"(21285389, 20621546, 0)",1
"(21292895, 32884115, 0)",1
"(21292906, 1144780403, 0)",3
"(21292925, 21292926, 0)",1
"(21292925, 692124210, 0)",1
"(21292929, 4540886233, 0)",1
"(21292930, 1056476468, 0)",1
"(21298208, 21298248, 0)",1
"(21298211, 21298230, 0)",1
"(21298238, 21285336, 0)",1
"(21299757, 21310039, 0)",1
"(21299776, 21122882, 0)",1
"(21310026, 9784469, 0)",1
"(21310026, 9784608, 0)",4
"(21310048, 921362473, 0)",2
"(21310048, 921362487, 0)",1
"(21310050, 25233850, 0)",3
"(21310050, 921362387, 0)",1
"(21310053, 343110162, 0)",1
"(21310233, 289722411, 0)",1
"(21310234, 21310056, 0)",1
"(21310236, 5404393358, 0)",1
"(21311083, 25233682, 0)",1
"(21311083, 25233683, 0)",3
"(21311083, 3956022899, 0)",1
"(21311087, 21316539, 0)",3
"(21311096, 21311111, 0)",1
"(21311098, 920345629, 0)",1
"(21311102, 705599155, 0)",1
"(21311111, 21311108, 0)",2
"(21311117, 21355474, 0)",1
"(21316410, 21299776, 0)",1
"(21316414, 920345262, 0)",2
"(21316417, 1324237584, 0)",1
"(21316419, 21098966, 0)",1
"(21316509, 1590466301, 0)",1
"(21316536, 21310041, 0)",1
"(21316537, 356074111, 0)",1
"(21316537, 1590466360, 0)",1
"(21316538, 21316539, 0)",3
"(21316539, 21311087, 0)",1
"(21354275, 9784469, 0)",3
"(21354275, 2719917307, 0)",1
"(21355474, 9790630, 0)",1
"(21355475, 9790621, 0)",2
